title,duration,mpaa_rating,genre,release_date,user_rating,rating_count,budget,gross
Taken 2,91.0,PG-13,Thriller,2012-09-27,6.2,276940.0,45000000.0,376141306.0
Ted,106.0,R,Comedy,2012-06-29,6.9,545814.0,50000000.0,549368315.0
Les Miserables,158.0,PG-13,Drama,2012-12-05,7.5,527284.0,61000000.0,441800000.0
Lincoln,149.0,PG-13,History,2012-11-09,7.3,232227.0,65000000.0,275293450.0
The Lorax,86.0,PG,Animation,2012-03-01,6.4,91777.0,70000000.0,348840316.0
The Hunger Games,142.0,PG-13,Adventure,2012-03-12,7.2,805367.0,75000000.0,691210692.0
Hotel Transylvania,91.0,PG,Animation,2012-09-20,7.1,208916.0,85000000.0,358375603.0
Ice Age: Continental Drift,88.0,PG,Animation,2012-06-26,6.6,179430.0,95000000.0,877244782.0
Django Unchained,165.0,R,Western,2012-12-25,8.4,1246157.0,100000000.0,425368238.0
The Twilight Saga: Breaking Dawn - Part 2,115.0,PG-13,Romance,2012-11-13,5.5,218357.0,120000000.0,829000000.0
Madagascar 3: Europe's Most Wanted,93.0,PG,Animation,2012-06-06,6.8,150894.0,145000000.0,746921274.0
Wreck-It Ralph,108.0,PG,Animation,2012-11-01,7.7,354202.0,165000000.0,471222889.0
Snow White and the Huntsman,127.0,PG-13,Fantasy,2012-05-30,6.1,262152.0,170000000.0,396600000.0
Brave,93.0,PG,Animation,2012-06-21,7.1,346490.0,185000000.0,538983207.0
Skyfall,143.0,PG-13,Action,2012-10-25,7.7,599462.0,200000000.0,1108561013.0
The Amazing Spider-Man,136.0,PG-13,Action,2012-06-27,6.9,534526.0,215000000.0,752215857.0
The Avengers,143.0,PG-13,Action,2012-04-25,8.0,1205002.0,220000000.0,1519557910.0
Men in Black 3,106.0,PG-13,Action,2012-05-23,6.8,317807.0,225000000.0,624026776.0
The Dark Knight Rises,165.0,PG-13,Action,2012-07-16,8.4,1418253.0,250000000.0,1084939099.0
The Hobbit: An Unexpected Journey,169.0,PG-13,Fantasy,2012-11-26,7.8,727724.0,250000000.0,1021103568.0
The Conjuring,112.0,R,Horror,2013-07-18,7.5,410378.0,13000000.0,318000141.0
Identity Thief,111.0,R,Comedy,2013-02-07,5.7,117864.0,35000000.0,173965010.0
We're The Millers,110.0,R,Comedy,2013-08-03,7.7,685903.0,37000000.0,270000000.0
American Hustle,138.0,R,Crime,2013-12-12,7.2,424472.0,40000000.0,251171807.0
The Heat,117.0,R,Comedy,2013-06-27,6.6,155514.0,43000000.0,158674180.0
Despicable Me 2,98.0,PG,Animation,2013-06-25,7.4,350582.0,76000000.0,970761885.0
The Great Gatsby,143.0,PG-13,Drama,2013-05-10,7.3,442728.0,105000000.0,351040419.0
Gravity,91.0,PG-13,Science Fiction,2013-09-27,7.7,724258.0,105000000.0,716392705.0
The Hunger Games: Catching Fire,146.0,PG-13,Adventure,2013-11-15,7.5,583523.0,130000000.0,847423452.0
The Croods,98.0,PG,Animation,2013-03-20,7.2,180043.0,135000000.0,585178928.0
Frozen,102.0,PG,Animation,2013-11-27,7.5,527284.0,150000000.0,1274219009.0
Fast & Furious 6,130.0,PG-13,Action,2013-05-06,,,160000000.0,788679850.0
