title,duration,mpaa_rating,listed_in,release_year,media_type
The Yard,2 Seasons,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",2019,TV Show
Chief of Staff,2 Seasons,TV-14,"International TV Shows, Korean TV Shows, TV Dramas",2019,TV Show
My Little Pony: Friendship Is Magic,8 Seasons,TV-Y,Kids' TV,2018,TV Show
Patriot Act with Hasan Minhaj,5 Seasons,TV-MA,TV Comedies,2019,TV Show
Glitter Force Doki Doki,2 Seasons,TV-Y7,"Anime Series, Kids' TV",2017,TV Show
Lady Dynamite,2 Seasons,TV-MA,TV Comedies,2017,TV Show
Atypical,3 Seasons,TV-MA,"TV Comedies, TV Dramas, Teen TV Shows",2019,TV Show
Billy on the Street,4 Seasons,TV-14,"International TV Shows, Reality TV, TV Comedies",2016,TV Show
Bondi Rescue,1 Season,TV-PG,Reality TV,2016,TV Show
CLANNAD,2 Seasons,TV-PG,"Anime Series, Teen TV Shows",2008,TV Show
Haikyu!!,2 Seasons,TV-14,"Anime Series, International TV Shows, Teen TV Shows",2015,TV Show
"Love, Chunibyo & Other Delusions!",2 Seasons,TV-PG,"Anime Series, Romantic TV Shows, Teen TV Shows",2014,TV Show
Mars,2 Seasons,TV-PG,"Docuseries, Science & Nature TV, TV Dramas",2018,TV Show
Mobile Suit Gundam: Iron-Blooded Orphans,2 Seasons,TV-14,"Anime Series, International TV Shows",2016,TV Show
The Boulet Brothers Dragula,2 Seasons,TV-MA,Reality TV,2019,TV Show
The Deep,3 Seasons,TV-Y7,Kids' TV,2019,TV Show
Creators,2 Seasons,TV-Y,"Kids' TV, Spanish-Language TV Shows",2015,TV Show
Follow This,3 Seasons,TV-MA,Docuseries,2018,TV Show
Grand Hotel,3 Seasons,TV-PG,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2013,TV Show
That '70s Show,8 Seasons,TV-14,TV Comedies,2005,TV Show
The Mind of a Chef,5 Seasons,TV-PG,Docuseries,2016,TV Show
Top Boy,2 Seasons,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",2011,TV Show
Highway to Heaven,5 Seasons,TV-PG,TV Dramas,1988,TV Show
Lucifer,4 Seasons,TV-14,"Crime TV Shows, TV Comedies, TV Dramas",2019,TV Show
Queen of the South,3 Seasons,TV-14,"Crime TV Shows, TV Action & Adventure, TV Dramas",2018,TV Show
Kazoops!,3 Seasons,TV-Y,Kids' TV,2017,TV Show
Kong: King of the Apes,2 Seasons,TV-Y7-FV,Kids' TV,2018,TV Show
Bad Blood,2 Seasons,TV-MA,"Crime TV Shows, TV Dramas",2019,TV Show
My Next Guest Needs No Introduction With David Letterman,2 Seasons,TV-MA,Stand-Up Comedy & Talk Shows,2019,TV Show
Oh No! It's an Alien Invasion,2 Seasons,TV-Y7-FV,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",2014,TV Show
Unbreakable Kimmy Schmidt,4 Seasons,TV-14,TV Comedies,2019,TV Show
American Crime,3 Seasons,TV-14,"Crime TV Shows, TV Dramas",2017,TV Show
Cupcake & Dino - General Services,2 Seasons,TV-Y7,"Kids' TV, TV Comedies",2019,TV Show
Supernatural,14 Seasons,TV-14,"Classic & Cult TV, TV Action & Adventure, TV Horror",2019,TV Show
Total Drama,5 Seasons,TV-PG,"Kids' TV, TV Comedies",2015,TV Show
Arrested Development,5 Seasons,TV-14,TV Comedies,2019,TV Show
DC's Legends of Tomorrow,4 Seasons,TV-14,"TV Action & Adventure, TV Sci-Fi & Fantasy",2018,TV Show
Hell on Wheels,5 Seasons,TV-14,"Crime TV Shows, TV Action & Adventure",2016,TV Show
Supergirl,4 Seasons,TV-14,"TV Action & Adventure, TV Sci-Fi & Fantasy",2019,TV Show
Mako Mermaids: An H2O Adventure,4 Seasons,TV-G,"Kids' TV, TV Comedies",2016,TV Show
Bloodline,3 Seasons,TV-MA,"TV Dramas, TV Mysteries, TV Thrillers",2017,TV Show
Bitten,3 Seasons,TV-MA,"International TV Shows, TV Dramas, TV Horror",2016,TV Show
Trollhunters,3 Seasons,TV-Y7-FV,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",2018,TV Show
She's Gotta Have It,2 Seasons,TV-MA,"Romantic TV Shows, TV Comedies, TV Dramas",2018,TV Show
Fauda,2 Seasons,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas",2018,TV Show
Riverdale,3 Seasons,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries",2019,TV Show
The Flash,5 Seasons,TV-14,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",2019,TV Show
Velvet,4 Seasons,TV-14,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2016,TV Show
Richie Rich,2 Seasons,TV-G,"Kids' TV, TV Comedies",2015,TV Show
Arrow,7 Seasons,TV-14,"Crime TV Shows, TV Action & Adventure",2019,TV Show
Prince of Peoria,2 Seasons,TV-Y7,"Kids' TV, TV Comedies",2019,TV Show
Rosario Tijeras,2 Seasons,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2018,TV Show
Colony,3 Seasons,TV-14,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",2018,TV Show
Scandal,7 Seasons,TV-14,"Crime TV Shows, TV Dramas",2018,TV Show
Inspector Gadget,4 Seasons,TV-Y7,"Crime TV Shows, Kids' TV, TV Comedies",2017,TV Show
Royal Pains,8 Seasons,TV-PG,"TV Comedies, TV Dramas",2016,TV Show
Nailed It,3 Seasons,TV-PG,Reality TV,2019,TV Show
The Rain,2 Seasons,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",2019,TV Show
White Gold,2 Seasons,TV-MA,"British TV Shows, International TV Shows, TV Comedies",2019,TV Show
Call the Midwife,8 Seasons,TV-14,"British TV Shows, International TV Shows, TV Dramas",2018,TV Show
Sherlock,4 Seasons,TV-14,"British TV Shows, Crime TV Shows, International TV Shows",2017,TV Show
Master of None,2 Seasons,TV-MA,TV Comedies,2017,TV Show
Bill Nye Saves the World,3 Seasons,TV-14,Stand-Up Comedy & Talk Shows,2018,TV Show
Ha Unlimited,2 Seasons,TV-14,"International TV Shows, TV Comedies",2016,TV Show
Easy,3 Seasons,TV-MA,"TV Comedies, TV Dramas",2019,TV Show
The Mechanism,2 Seasons,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",2019,TV Show
Code Geass: Lelouch of the Rebellion,2 Seasons,TV-14,"Anime Series, International TV Shows",2008,TV Show
LoliRock,2 Seasons,TV-Y,Kids' TV,2016,TV Show
Yu-Gi-Oh! Arc-V,2 Seasons,TV-Y7,"Anime Series, Kids' TV",2015,TV Show
Club Friday The Series 6,9 Seasons,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",2015,TV Show
Love,3 Seasons,TV-MA,"Romantic TV Shows, TV Comedies, TV Dramas",2018,TV Show
Hunter X Hunter (2011),3 Seasons,TV-MA,"Anime Series, International TV Shows",2013,TV Show
Hap and Leonard,3 Seasons,TV-MA,"Crime TV Shows, TV Dramas",2018,TV Show
Secret City,2 Seasons,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",2016,TV Show
Rectify,4 Seasons,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries",2016,TV Show
Dad's Army,10 Seasons,TV-PG,"British TV Shows, Classic & Cult TV, TV Comedies",1977,TV Show
Days We Stared at the Sun,2 Seasons,TV-MA,"International TV Shows, TV Dramas",2017,TV Show
Doctor Foster,2 Seasons,TV-MA,"British TV Shows, International TV Shows, Romantic TV Shows",2017,TV Show
Father Brown,6 Seasons,TV-14,"British TV Shows, Crime TV Shows, TV Dramas",2017,TV Show
ViR: The Robot Boy,2 Seasons,TV-Y7,Kids' TV,2013,TV Show
Wake Up,2 Seasons,TV-14,"International TV Shows, TV Dramas",2017,TV Show
Yu-Gi-Oh!,5 Seasons,TV-Y7,"Anime Series, Kids' TV",2005,TV Show
Extras,2 Seasons,TV-MA,"British TV Shows, TV Comedies",2006,TV Show
Hoff the Record,2 Seasons,TV-MA,"British TV Shows, TV Comedies",2016,TV Show
The House That Made Me,3 Seasons,TV-PG,"International TV Shows, Reality TV",2015,TV Show
Weird Wonders of the World,2 Seasons,TV-PG,"British TV Shows, Docuseries, Science & Nature TV",2016,TV Show
Republic of Doyle,6 Seasons,TV-14,"Crime TV Shows, TV Comedies, TV Dramas",2014,TV Show
How to Get Away with Murder,5 Seasons,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries",2018,TV Show
Trailer Park Boys,12 Seasons,TV-MA,"Classic & Cult TV, Crime TV Shows, International TV Shows",2018,TV Show
On My Block,2 Seasons,TV-14,"Romantic TV Shows, TV Comedies, TV Dramas",2019,TV Show
Santa Clarita Diet,3 Seasons,TV-MA,"TV Comedies, TV Horror, TV Thrillers",2019,TV Show
Versailles,3 Seasons,TV-MA,"International TV Shows, TV Dramas",2018,TV Show
Hyori's Bed & Breakfast,2 Seasons,TV-PG,"International TV Shows, Korean TV Shows, Reality TV",2018,TV Show
Ainori Love Wagon: Asian Journey,2 Seasons,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows",2018,TV Show
Black Lightning,2 Seasons,TV-14,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",2019,TV Show
Better Call Saul,3 Seasons,TV-MA,"Crime TV Shows, TV Comedies, TV Dramas",2017,TV Show
Bottersnikes & Gumbles,2 Seasons,TV-Y7,"British TV Shows, Kids' TV",2017,TV Show
The OA,2 Seasons,TV-MA,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",2019,TV Show
Mad Men,7 Seasons,TV-14,TV Dramas,2014,TV Show
The L Word,6 Seasons,TV-MA,"Romantic TV Shows, TV Dramas",2009,TV Show
The Standups,2 Seasons,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",2018,TV Show
El Reemplazante,2 Seasons,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",2013,TV Show
Angry Birds,3 Seasons,TV-G,"Kids' TV, TV Comedies",2018,TV Show
Happy Valley,2 Seasons,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",2016,TV Show
Brain Games,3 Seasons,TV-G,"Docuseries, Science & Nature TV",2016,TV Show
Las muñecas de la mafia,2 Seasons,TV-14,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2018,TV Show
Robozuna,2 Seasons,TV-Y7-FV,"British TV Shows, Kids' TV",2018,TV Show
Terrace House: Opening New Doors,6 Seasons,TV-14,"International TV Shows, Reality TV",2018,TV Show
Into the Badlands,3 Seasons,NR,TV Action & Adventure,2018,TV Show
Guru Aur Bhole,3 Seasons,TV-G,"Kids' TV, TV Comedies",2018,TV Show
Larva Island,2 Seasons,TV-Y7,"Kids' TV, Korean TV Shows, TV Comedies",2019,TV Show
The Disastrous Life of Saiki K.,3 Seasons,TV-14,"Anime Series, International TV Shows, Teen TV Shows",2018,TV Show
Murder Maps,3 Seasons,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",2017,TV Show
Marcella,2 Seasons,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",2017,TV Show
3%,3 Seasons,TV-MA,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2019,TV Show
Designated Survivor,3 Seasons,TV-14,"Crime TV Shows, TV Dramas, TV Thrillers",2019,TV Show
The Night Shift,4 Seasons,TV-14,TV Dramas,2017,TV Show
Black Mirror,5 Seasons,TV-MA,"British TV Shows, International TV Shows, TV Dramas",2019,TV Show
Madam Secretary,5 Seasons,TV-14,TV Dramas,2019,TV Show
Scare Tactics,2 Seasons,TV-MA,"Reality TV, TV Comedies, TV Horror",2011,TV Show
Hormones,3 Seasons,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",2015,TV Show
Criminal Minds,12 Seasons,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries",2017,TV Show
Little Witch Academia,2 Seasons,TV-Y7,"Anime Series, International TV Shows",2017,TV Show
The Day My Butt Went Psycho!,2 Seasons,TV-Y7,"Kids' TV, TV Comedies",2015,TV Show
Documentary Now!,3 Seasons,TV-14,TV Comedies,2019,TV Show
Dynasty,2 Seasons,TV-14,TV Dramas,2019,TV Show
Instant Hotel,2 Seasons,TV-MA,"International TV Shows, Reality TV",2019,TV Show
