,id,spoken_languages
609,10661,he
610,257344,en
611,644,en
612,10756,en
613,686,en
614,9383,en
615,179,en
616,179,fr
617,179,pt
618,76285,en
619,1996,en
620,1996,zh
621,291805,zh
622,291805,en
623,10003,en
624,10003,ru
625,1535,cn
626,1535,en
627,1535,de
628,1535,ar
629,1535,fr
630,2067,en
631,46195,en
632,46195,pt
633,2277,en
634,10357,de
635,10357,es
636,10357,en
637,4477,en
638,8665,en
639,9387,en
640,921,en
641,49852,da
642,49852,en
643,4464,en
644,664,en
645,8358,ru
646,8358,en
647,9836,en
648,2502,en
649,2502,ru
650,2502,de
651,2502,it
652,9772,en
653,9772,ru
654,161,it
655,161,en
656,52451,en
657,76492,en
658,4523,en
659,59961,en
660,59961,af
661,59961,es
662,10481,en
663,59108,en
664,1581,en
665,9798,en
666,22897,en
667,22897,fr
668,298,es
669,298,en
670,298,fr
671,7484,en
672,157350,en
673,853,de
674,853,en
675,853,ru
676,10159,pt
677,10159,en
678,9593,en
679,1904,en
680,1904,ja
681,9615,en
682,9615,ja
683,51052,en
684,297,en
685,9884,en
686,9884,es
687,16858,en
688,62764,en
689,22538,en
690,9341,en
691,12107,en
692,9637,en
693,49049,en
694,9339,en
695,9339,pt
696,9339,ja
697,16281,en
698,16281,it
699,39691,en
700,39691,th
701,8247,fr
702,11253,en
703,1949,en
704,8452,en
705,310,en
706,27578,en
707,27578,es
708,954,en
709,954,fr
710,954,cs
711,70160,en
712,45243,en
713,45243,th
714,364,en
715,7518,en
716,11544,en
717,9986,en
718,8656,en
719,146216,en
720,146216,fr
721,146216,ru
722,9291,en
723,55301,en
724,109418,en
725,11665,en
726,11665,ru
727,6964,fr
728,6964,en
729,11324,en
730,11324,de
731,12193,en
732,9928,en
733,9928,it
734,754,en
735,754,la
736,10202,en
737,4147,en
738,50546,en
739,1701,en
740,13027,en
741,2289,en
742,20504,en
743,9574,en
744,11618,en
745,2300,en
746,12096,en
747,10200,zh
748,10200,en
749,8834,en
750,228150,en
751,6068,en
752,6068,de
753,6068,th
754,41515,en
755,9023,en
756,38317,en
757,2157,en
758,14462,en
759,161795,en
760,159824,en
761,159824,th
762,49948,en
763,2135,en
764,9822,sw
765,9822,en
766,9705,de
767,9705,en
768,1656,en
769,1656,it
770,1656,es
771,12159,en
772,9678,en
773,9678,fr
774,4442,en
775,4442,fr
776,4442,de
777,4442,it
778,75,en
779,75,fr
780,330770,fr
781,9433,en
782,9433,fr
783,9433,ru
784,19959,en
785,19959,fr
786,11973,en
787,11973,ru
788,11228,en
789,77951,en
790,5491,en
791,5491,fr
792,10715,en
793,10197,en
794,10197,fr
795,10197,it
796,9562,en
797,9562,fr
798,9922,en
799,9922,fr
800,9447,en
801,274854,en
802,8870,en
803,9992,en
804,36970,fr
805,10077,en
806,10077,zh
807,76649,en
808,453,en
809,8587,en
810,72545,en
811,109451,en
812,9533,en
813,2023,en
814,71880,en
815,584,en
816,584,es
817,309809,en
818,4858,ru
819,4858,en
820,17711,ru
821,328111,en
822,8698,en
823,8698,de
824,8698,it
825,93456,en
826,602,en
827,330,en
828,953,en
829,953,fr
830,953,pt
831,953,es
832,953,th
833,9693,en
834,36657,en
835,8909,en
836,9802,en
837,950,en
838,1824,en
839,2976,en
840,11026,en
841,332,en
842,332,no
843,332,fr
844,332,es
845,75656,fr
846,75656,en
847,38365,en
848,594,bg
849,594,en
850,594,fr
851,594,ru
852,594,es
853,15189,en
854,11678,en
855,11678,ur
856,6538,ar
857,6538,en
858,6538,ru
859,6538,ur
860,6538,he
861,10555,en
862,1125,en
863,4551,en
864,4551,ru
865,612,ar
866,612,de
867,612,el
868,612,en
869,612,fr
870,612,he
871,612,it
872,612,ru
873,9567,en
874,37821,en
875,203801,it
876,203801,en
877,203801,ru
878,203801,de
879,2539,es
880,2539,en
881,9297,en
882,3172,en
883,6520,en
884,6520,fr
885,1439,en
886,1439,th
887,37958,el
888,37958,en
889,2026,en
890,7450,en
891,7450,zh
892,11375,en
893,9425,en
894,25769,en
895,23685,en
896,11866,en
897,9741,en
898,211672,en
899,23629,en
900,23629,de
901,8688,cs
902,8688,en
903,10153,en
904,153518,en
905,8676,en
906,20829,en
907,4349,ar
908,4349,en
909,9718,en
910,10808,en
911,197,en
912,197,fr
913,197,la
914,197,gd
915,25,en
916,25,es
917,25,ar
918,25,la
919,35,en
920,11086,en
921,10477,en
922,10477,de
923,10477,es
924,1997,en
925,1997,fr
926,1997,th
927,6947,en
928,3050,en
929,2675,en
930,2675,pt
931,809,en
932,920,en
933,920,it
934,920,ja
935,920,yi
936,4806,en
937,7451,cs
938,7451,en
939,7451,de
940,7451,es
941,7451,ru
942,228165,en
943,3595,en
944,16869,de
945,16869,en
946,16869,fr
947,16869,it
948,879,en
949,1573,en
950,1573,es
951,9257,en
952,9257,es
953,9257,fr
954,1903,en
955,9697,en
956,395,it
957,395,en
958,23398,en
959,23398,fr
960,10590,en
961,10590,vi
962,10590,fr
963,117263,en
964,117263,ko
965,200,en
966,44943,en
967,587,en
968,10395,en
969,57212,en
970,152760,en
971,152760,de
972,152760,ru
973,152760,fr
974,2756,en
975,33909,en
976,49017,en
977,9882,es
978,9882,en
979,9882,ar
980,2270,en
981,978,en
982,44564,en
983,3132,en
984,8814,ja
985,8814,en
986,8427,en
987,8427,hu
988,8427,ru
989,52520,en
990,52520,ru
991,80585,en
992,80585,th
993,10592,en
994,10592,de
995,49021,en
996,11535,de
997,11535,fr
998,11535,ja
999,11535,ko
1000,11535,ru
1001,11535,ar
1002,11535,en
1003,10550,en
1004,10550,es
1005,11258,en
1006,12610,en
1007,59981,en
1008,201088,en
1009,201088,it
1010,201088,zh
1011,201088,es
1012,5137,bo
1013,5137,de
1014,5137,en
1015,3093,en
1016,3093,de
1017,107846,en
1018,107846,de
1019,107846,ar
1020,107846,ur
1021,188207,en
1022,4614,ar
1023,4614,en
1024,4614,ru
1025,4614,uk
1026,4614,de
1027,24021,en
1028,11371,en
1029,11371,fr
1030,20352,en
1031,11517,en
1032,214756,en
1033,26428,en
1034,9824,en
1035,48988,en
1036,9008,ar
1037,9008,en
1038,9008,ja
1039,9008,fa
1040,300673,en
1041,12113,ar
1042,12113,en
1043,38778,en
1044,72331,en
1045,1844,en
1046,846,en
1047,9703,en
1048,857,cs
1049,857,de
1050,857,en
1051,857,fr
1052,136797,en
1053,3981,en
1054,3981,fr
1055,425,en
1056,6171,en
1057,72976,en
1058,603,en
1059,568,en
1060,9021,en
1061,82695,en
1062,9489,en
1063,12133,en
1064,12133,es
1065,9342,en
1066,41733,en
1067,41733,es
1068,227306,it
1069,227306,en
1070,227306,ja
1071,5551,en
